track_name,track_id,artist_name,cosine_dist,predicted_genre,danceability,energy,loudness,acousticness,valence,tempo
Loving Arms,4O4lCOUAjzwtC5V4WKUMJ6,James Reid,0.02264439534876861,hopeful,0.541,0.418,0.6397062076899253,0.519,0.29,0.5988117618357418
For Once in My Life,4sq3uh6LXYZ3LhvbpgRN7a,Daniel Padilla,0.022720282586606966,hopeful,0.726,0.754,0.7247909384540507,0.564,0.837,0.5023846083932475
Nag-iisang Ikaw,4kgbn81vUY9HuCz9QlRh0P,Sarah Geronimo,0.02279711360304426,hopeful,0.642,0.426,0.7186850139374364,0.748,0.324,0.5641787332156576
Ikaw At Ako (Movie Version),459mgeXCLhqviFmgP2pYOo,Moira Dela Torre,0.023116947478828642,hopeful,0.534,0.486,0.6339100039821247,0.666,0.369,0.650670416983578
Lunes,0gTU6Ibra2LTCPjmOJFXVf,Join The Club,0.023391166837834043,hopeful,0.442,0.724,0.8069111986195303,0.721,0.308,0.5608732880807848
Lazy Daisy,1eg4lwXmLYJISc45cXbiEX,Up Dharma Down,0.02348469288321975,hopeful,0.52,0.467,0.7139949559753993,0.248,0.343,0.3459858693416376
Nag-Iisa Na Naman,0n3UxW6MBWtdHlssiVA5fv,KZ Tandingan,0.023792322681424505,hopeful,0.548,0.801,0.852572895004646,0.583,0.678,0.813450435065463
Oo,7gWKGNeHjIDUkNreiYYNdm,Up Dharma Down,0.024123846295336926,hopeful,0.583,0.626,0.7397017831069422,0.465,0.6,0.7420748245626623
Mahal Ko o Mahal Ako,5uH1oF5GWWCSdja7JcyE6X,KZ Tandingan,0.024338962612467374,hopeful,0.729,0.388,0.81182248573072,0.63,0.301,0.3534530181919071
Turning Up,5LFh0AoRNuKLKy2jC23Lxk,James Reid,0.024663423918189764,hopeful,0.714,0.65,0.8494314410866777,0.56,0.202,0.4307315509760869
